id,Year,State_Code,SO2_AQI
42129,2005,42,114.0
42129,2006,42,100.0
42129,2007,42,92.0
42129,2008,42,106.0
42133,2000,42,104.0
42133,2001,42,66.0
42133,2002,42,82.0
42133,2003,42,89.0
42133,2004,42,114.0
42133,2005,42,148.0
42133,2006,42,129.0
42133,2007,42,152.0
42133,2008,42,125.0
42133,2009,42,117.0
42133,2010,42,51.0
42133,2011,42,153.0
42133,2012,42,57.0
42133,2013,42,34.0
42133,2014,42,54.0
42133,2015,42,56.0
42133,2016,42,26.0
44007,2011,44,14.0
44007,2012,44,26.0
44007,2013,44,24.0
44007,2014,44,20.0
44007,2015,44,23.0
44007,2016,44,6.0
45019,2003,45,21.0
45019,2006,45,101.0
45019,2007,45,26.0
45019,2008,45,76.0
45019,2009,45,34.0
45019,2010,45,31.0
45079,2016,45,4.0
46099,2011,46,7.0
46099,2012,46,9.0
46099,2013,46,6.0
46099,2014,46,29.0
46099,2015,46,6.0
46127,2013,46,14.0
47009,2008,47,27.0
47009,2009,47,17.0
47009,2010,47,21.0
47009,2015,47,6.0
47009,2016,47,4.0
47075,2002,47,36.0
47075,2003,47,11.0
47121,2002,47,34.0
47121,2003,47,14.0
48029,2008,48,69.0
48029,2009,48,51.0
48029,2010,48,40.0
48113,2000,48,19.0
48113,2001,48,21.0
48113,2002,48,27.0
48113,2003,48,17.0
48113,2004,48,20.0
48113,2005,48,27.0
48113,2006,48,23.0
48113,2007,48,20.0
48113,2008,48,33.0
48113,2009,48,9.0
48113,2010,48,24.0
48113,2011,48,16.0
48113,2012,48,9.0
48113,2013,48,10.0
48113,2014,48,9.0
48113,2015,48,7.0
48113,2016,48,4.0
48141,2000,48,50.0
48141,2001,48,33.0
48141,2002,48,47.0
48141,2003,48,67.0
48141,2004,48,20.0
48141,2005,48,21.0
48141,2006,48,97.0
48141,2007,48,34.0
48141,2008,48,24.0
48141,2009,48,14.0
48141,2010,48,17.0
48141,2011,48,19.0
48141,2012,48,21.0
48141,2013,48,16.0
48141,2014,48,16.0
48141,2015,48,17.0
48141,2016,48,21.0
48201,2000,48,172.0
48201,2001,48,135.0
48201,2003,48,127.0
48201,2004,48,120.0
48201,2005,48,126.0
48201,2006,48,125.0
48201,2007,48,103.0
48201,2008,48,104.0
48201,2009,48,76.0
48201,2010,48,94.0
48201,2011,48,100.0
48201,2012,48,50.0
48201,2013,48,110.0
48201,2014,48,54.0
48201,2015,48,23.0
48201,2016,48,10.0
48309,2007,48,10.0
48309,2008,48,11.0
48309,2009,48,13.0
48309,2010,48,13.0
48309,2011,48,11.0
48309,2012,48,14.0
48309,2013,48,17.0
48309,2014,48,17.0
48309,2015,48,14.0
48309,2016,48,13.0
48453,2012,48,6.0
48453,2013,48,14.0
48453,2014,48,10.0
49013,2012,49,3.0
49035,2011,49,64.0
49035,2012,49,13.0
49035,2013,49,17.0
49035,2014,49,33.0
49035,2015,49,33.0
49035,2016,49,4.0
49047,2012,49,6.0
49047,2013,49,9.0
51059,2000,51,89.0
51059,2006,51,62.0
51059,2007,51,84.0
51059,2008,51,79.0
51059,2009,51,101.0
51087,2010,51,10.0
51087,2011,51,43.0
51087,2012,51,16.0
51087,2013,51,10.0
51087,2014,51,14.0
51087,2015,51,14.0
51087,2016,51,7.0
51161,2013,51,7.0
51161,2014,51,4.0
51161,2015,51,7.0
51510,2000,51,109.0
51510,2006,51,75.0
51510,2007,51,65.0
51510,2008,51,75.0
51510,2009,51,87.0
51510,2010,51,24.0
51510,2011,51,70.0
